State,AreaName,Population 18 Years or Over,Population 25 Years or Over,Population 25 Years or Over with No Schooling Completed,Population 25 Years or Over with Bachelor's Degree,Population 25 Years or Over with Master's Degree,Population 25 Years or Over with Doctorate's Degree
AL,Alabama,3718646,3239351,41876,478812,201997,48509
AK,Alaska,545248,464440,2977,83201,33447,8271
GA,Georgia,7515613,6500205,85137,1178186,490540,126049
HI,Hawaii,1098102,962052,10231,196010,66155,21744
ID,Idaho,1186901,1030748,11099,182235,58882,14819
IL,Illinois,9850027,8600178,101111,1711787,778362,183531
IN,Indiana,4981994,4316273,39319,664747,275285,57184
IA,Iowa,2366903,2049344,14467,372434,120585,30992
KS,Kansas,2169470,1869698,15846,374220,150913,33202
KY,Kentucky,3381288,2955216,32837,386554,196117,48471
LA,Louisiana,3510657,3040041,38508,451042,158826,47541
ME,Maine,1066847,952777,5683,178375,69366,16387
AZ,Arizona,5024639,4361304,59117,753425,321027,73284
MD,Maryland,4582258,4018459,41611,826439,478941,116644
MA,Massachusetts,5307957,4610510,63105,1049150,572191,130296
MI,Michigan,7650918,6652665,72158,1094936,512955,110322
MN,Minnesota,4138469,3632992,38827,818315,284110,75497
MS,Mississippi,2251908,1940365,27994,251230,106977,25040
MO,Missouri,4644769,4052300,32874,685454,300193,67389
MT,Montana,790309,690448,2786,138099,44936,11867
NE,Nebraska,1404408,1215400,13074,238158,82229,20794
NV,Nevada,2137056,1884237,28887,285510,102243,29472
NH,New Hampshire,1052521,925145,5450,202048,90834,16109
AR,Arkansas,2250387,1962741,23014,267741,103397,24613
NJ,New Jersey,6881100,6091495,79688,1387201,615746,148177
NM,New Mexico,1577427,1367822,18345,202298,110788,21734
NY,New York,15421400,13435795,248247,2604077,1433296,365654
NC,North Carolina,7561498,6582301,83514,1213587,467519,101314
ND,North Dakota,558628,468030,2701,93946,23929,6309
OH,Ohio,8919958,7817508,68837,1278763,554000,124512
OK,Oklahoma,2901825,2512392,23211,405388,143223,33669
OR,Oregon,3078882,2714972,28591,522634,218853,54779
PA,Pennsylvania,10057325,8814112,86400,1535222,702244,165557
PR,Puerto Rico,2779182,2414831,65607,420722,110715,29771
CA,California,29247121,25257858,652517,5002596,1965005,583790
RI,Rhode Island,838642,720641,11223,137505,65026,15246
SC,South Carolina,3695743,3210007,37053,530349,221384,45090
SD,South Dakota,635524,551039,3094,104728,30862,7085
TN,Tennessee,5006729,4380036,50158,696512,274650,69535
TX,Texas,19479604,16765143,325670,3054382,1134567,256346
UT,Utah,2005861,1674198,12943,347460,122889,27671
VT,Vermont,503333,436657,2372,94705,44184,10322
VA,Virginia,6391962,5566373,66122,1167357,624786,135221
WA,Washington,5388888,4721438,52663,986653,401488,96813
WV,West Virginia,1469047,1298118,11071,152377,69161,16676
CO,Colorado,4037050,3520177,31777,847977,360853,76126
WI,Wisconsin,4432794,3873119,33034,713858,261565,60886
WY,Wyoming,441946,384272,1049,65787,23501,4932
CT,Connecticut,2808486,2462855,25683,516001,297270,71852
DC,District of Columbia,536179,453952,5198,105880,85795,37856
DE,Delaware,722300,631118,7295,112141,55594,11160
FL,Florida,15604649,13824205,198004,2418555,932223,274741
